Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.6055,-101.6,0.0,bottom
C2,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.584,-98.552,0.0,bottom
C3,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.3715,-94.742,180.0,bottom
C4,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,53.7005,-107.29725,0.0,bottom
C5,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,57.5095,-94.8475,-90.0,bottom
C6,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.323,-104.775,90.0,bottom
C7,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,45.2755,-95.86725,180.0,bottom
D1,D_Small,D_SOD-123,36.5125,-38.0375,90.0,bottom
D2,D_Small,D_SOD-123,69.85,-33.3375,90.0,bottom
D3,D_Small,D_SOD-123,88.9,-33.3375,90.0,bottom
D4,D_Small,D_SOD-123,107.95,-33.3375,90.0,bottom
D5,D_Small,D_SOD-123,127.0,-33.3375,90.0,bottom
D6,D_Small,D_SOD-123,160.3375,-33.3375,90.0,bottom
D7,D_Small,D_SOD-123,171.45,-38.83125,90.0,bottom
D8,D_Small,D_SOD-123,198.4375,-33.3375,90.0,bottom
D9,D_Small,D_SOD-123,217.4875,-33.3375,90.0,bottom
D10,D_Small,D_SOD-123,250.825,-33.3375,90.0,bottom
D11,D_Small,D_SOD-123,269.875,-33.3375,90.0,bottom
D12,D_Small,D_SOD-123,288.925,-33.3375,90.0,bottom
D13,D_Small,D_SOD-123,307.975,-33.3375,90.0,bottom
D14,D_Small,D_SOD-123,36.5125,-61.9125,90.0,bottom
D15,D_Small,D_SOD-123,69.85,-57.15,90.0,bottom
D16,D_Small,D_SOD-123,88.9,-57.15,90.0,bottom
D17,D_Small,D_SOD-123,107.95,-57.15,90.0,bottom
D18,D_Small,D_SOD-123,127.0,-57.15,90.0,bottom
D19,D_Small,D_SOD-123,146.05,-57.15,90.0,bottom
D20,D_Small,D_SOD-123,165.1,-57.15,90.0,bottom
D21,D_Small,D_SOD-123,184.15,-57.15,90.0,bottom
D22,D_Small,D_SOD-123,203.2,-57.15,90.0,bottom
D23,D_Small,D_SOD-123,222.25,-57.15,90.0,bottom
D24,D_Small,D_SOD-123,241.3,-57.15,90.0,bottom
D25,D_Small,D_SOD-123,260.35,-57.15,90.0,bottom
D26,D_Small,D_SOD-123,279.4,-57.15,90.0,bottom
D27,D_Small,D_SOD-123,298.45,-57.15,90.0,bottom
D28,D_Small,D_SOD-123,327.025,-57.15,90.0,bottom
D29,D_Small,D_SOD-123,36.5125,-80.9,90.0,bottom
D30,D_Small,D_SOD-123,74.6125,-76.2,90.0,bottom
D31,D_Small,D_SOD-123,98.425,-76.2,90.0,bottom
D32,D_Small,D_SOD-123,117.475,-76.2,90.0,bottom
D33,D_Small,D_SOD-123,136.525,-76.2,90.0,bottom
D34,D_Small,D_SOD-123,155.575,-76.2,90.0,bottom
D35,D_Small,D_SOD-123,174.625,-76.2,90.0,bottom
D36,D_Small,D_SOD-123,193.675,-76.2,90.0,bottom
D37,D_Small,D_SOD-123,212.725,-76.2,90.0,bottom
D38,D_Small,D_SOD-123,231.775,-76.2,90.0,bottom
D39,D_Small,D_SOD-123,250.825,-76.2,90.0,bottom
D40,D_Small,D_SOD-123,269.875,-76.2,90.0,bottom
D41,D_Small,D_SOD-123,288.925,-76.2,90.0,bottom
D42,D_Small,D_SOD-123,307.975,-76.2,90.0,bottom
D43,D_Small,D_SOD-123,331.7875,-76.2,90.0,bottom
D44,D_Small,D_SOD-123,36.5125,-99.95,90.0,bottom
D45,D_Small,D_SOD-123,76.99375,-95.25,90.0,bottom
D46,D_Small,D_SOD-123,103.1875,-95.25,90.0,bottom
D47,D_Small,D_SOD-123,122.2375,-95.25,90.0,bottom
D48,D_Small,D_SOD-123,141.2875,-95.25,90.0,bottom
D49,D_Small,D_SOD-123,160.3375,-95.25,90.0,bottom
D50,D_Small,D_SOD-123,179.3875,-95.25,90.0,bottom
D51,D_Small,D_SOD-123,198.4375,-95.25,90.0,bottom
D52,D_Small,D_SOD-123,217.4875,-95.25,90.0,bottom
D53,D_Small,D_SOD-123,236.5375,-95.25,90.0,bottom
D54,D_Small,D_SOD-123,255.5875,-95.25,90.0,bottom
D55,D_Small,D_SOD-123,274.6375,-95.25,90.0,bottom
D56,D_Small,D_SOD-123,293.6875,-95.25,90.0,bottom
D57,D_Small,D_SOD-123,324.64375,-95.25,90.0,bottom
D58,D_Small,D_SOD-123,36.5125,-119.0,90.0,bottom
D59,D_Small,D_SOD-123,65.0875,-119.0625,90.0,bottom
D60,D_Small,D_SOD-123,91.28125,-114.3,90.0,bottom
D61,D_Small,D_SOD-123,112.7125,-114.3,90.0,bottom
D62,D_Small,D_SOD-123,131.7625,-114.3,90.0,bottom
D63,D_Small,D_SOD-123,150.8125,-114.3,90.0,bottom
D64,D_Small,D_SOD-123,169.8625,-114.3,90.0,bottom
D65,D_Small,D_SOD-123,188.9125,-114.3,90.0,bottom
D66,D_Small,D_SOD-123,207.9625,-114.3,90.0,bottom
D67,D_Small,D_SOD-123,227.0125,-114.3,90.0,bottom
D68,D_Small,D_SOD-123,246.0625,-114.3,90.0,bottom
D69,D_Small,D_SOD-123,265.1125,-114.3,90.0,bottom
D70,D_Small,D_SOD-123,284.1625,-114.3,90.0,bottom
D71,D_Small,D_SOD-123,319.88125,-114.3,90.0,bottom
D72,D_Small,D_SOD-123,46.0375,-138.1125,90.0,bottom
D73,D_Small,D_SOD-123,65.0875,-138.1125,90.0,bottom
D74,D_Small,D_SOD-123,84.1375,-138.1125,90.0,bottom
D75,D_Small,D_SOD-123,107.95,-133.35,90.0,bottom
D76,D_Small,D_SOD-123,127.0,-133.35,90.0,bottom
D77,D_Small,D_SOD-123,196.05625,-133.35,90.0,bottom
D78,D_Small,D_SOD-123,267.49375,-133.35,90.0,bottom
D79,D_Small,D_SOD-123,291.30625,-133.35,90.0,bottom
D80,D_Small,D_SOD-123,315.11875,-133.35,90.0,bottom
D81,D_Small,D_SOD-123,336.55,-133.35,90.0,bottom
F1,500m,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,177.165,-41.7465,90.0,bottom
MX0-0,MX-NoLED,MXOnly-1U-NoLED,33.3375,-33.3375,0.0,top
MX0-1,MX-NoLED,MXOnly-1U-NoLED,61.9125,-33.3375,0.0,top
MX0-2,MX-NoLED,MXOnly-1U-NoLED,80.9625,-33.3375,0.0,top
MX0-3,MX-NoLED,MXOnly-1U-NoLED,100.0125,-33.3375,0.0,top
MX0-4,MX-NoLED,MXOnly-1U-NoLED,119.0625,-33.3375,0.0,top
MX0-5,MX-NoLED,MXOnly-1U-NoLED,152.4,-33.3375,0.0,top
MX0-6,MX-NoLED,MXOnly-1U-NoLED,171.45,-33.3375,0.0,top
MX0-7,MX-NoLED,MXOnly-1U-NoLED,190.5,-33.3375,0.0,top
MX0-8,MX-NoLED,MXOnly-1U-NoLED,209.55,-33.3375,0.0,top
MX0-10,MX-NoLED,MXOnly-1U-NoLED,242.8875,-33.3375,0.0,top
MX0-11,MX-NoLED,MXOnly-1U-NoLED,261.9375,-33.3375,0.0,top
MX0-12,MX-NoLED,MXOnly-1U-NoLED,280.9875,-33.3375,0.0,top
MX0-13,MX-NoLED,MXOnly-1U-NoLED,300.0375,-33.3375,0.0,top
MX1-0,MX-NoLED,MXOnly-1U-NoLED,33.3375,-57.15,0.0,top
MX1-1,MX-NoLED,MXOnly-1U-NoLED,61.9125,-57.15,0.0,top
MX1-2,MX-NoLED,MXOnly-1U-NoLED,80.9625,-57.15,0.0,top
MX1-3,MX-NoLED,MXOnly-1U-NoLED,100.0125,-57.15,0.0,top
MX1-4,MX-NoLED,MXOnly-1U-NoLED,119.0625,-57.15,0.0,top
MX1-5,MX-NoLED,MXOnly-1U-NoLED,138.1125,-57.15,0.0,top
MX1-6,MX-NoLED,MXOnly-1U-NoLED,157.1625,-57.15,0.0,top
MX1-7,MX-NoLED,MXOnly-1U-NoLED,176.2125,-57.15,0.0,top
MX1-8,MX-NoLED,MXOnly-1U-NoLED,195.2625,-57.15,0.0,top
MX1-9,MX-NoLED,MXOnly-1U-NoLED,214.3125,-57.15,0.0,top
MX1-10,MX-NoLED,MXOnly-1U-NoLED,233.3625,-57.15,0.0,top
MX1-11,MX-NoLED,MXOnly-1U-NoLED,252.4125,-57.15,0.0,top
MX1-12,MX-NoLED,MXOnly-1U-NoLED,271.4625,-57.15,0.0,top
MX1-13,MX-NoLED,MXOnly-1U-NoLED,290.5125,-57.15,0.0,top
MX1-14,MX-NoLED,MXOnly-2U-NoLED,319.0875,-57.15,0.0,top
MX2-0,MX-NoLED,MXOnly-1U-NoLED,33.3375,-76.2,0.0,top
MX2-1,MX-NoLED,MXOnly-1.5U-NoLED,66.675,-76.2,0.0,top
MX2-2,MX-NoLED,MXOnly-1U-NoLED,90.4875,-76.2,0.0,top
MX2-3,MX-NoLED,MXOnly-1U-NoLED,109.5375,-76.2,0.0,top
MX2-4,MX-NoLED,MXOnly-1U-NoLED,128.5875,-76.2,0.0,top
MX2-5,MX-NoLED,MXOnly-1U-NoLED,147.6375,-76.2,0.0,top
MX2-6,MX-NoLED,MXOnly-1U-NoLED,166.6875,-76.2,0.0,top
MX2-7,MX-NoLED,MXOnly-1U-NoLED,185.7375,-76.2,0.0,top
MX2-8,MX-NoLED,MXOnly-1U-NoLED,204.7875,-76.2,0.0,top
MX2-9,MX-NoLED,MXOnly-1U-NoLED,223.8375,-76.2,0.0,top
MX2-10,MX-NoLED,MXOnly-1U-NoLED,242.8875,-76.2,0.0,top
MX2-11,MX-NoLED,MXOnly-1U-NoLED,261.9375,-76.2,0.0,top
MX2-12,MX-NoLED,MXOnly-1U-NoLED,280.9875,-76.2,0.0,top
MX2-13,MX-NoLED,MXOnly-1U-NoLED,300.0375,-76.2,0.0,top
MX2-14,MX-NoLED,MXOnly-1.5U-NoLED,323.85,-76.2,0.0,top
MX3-0,MX-NoLED,MXOnly-1U-NoLED,33.3375,-95.25,0.0,top
MX3-1,MX-NoLED,MXOnly-1.75U-NoLED,69.05625,-95.25,0.0,top
MX3-2,MX-NoLED,MXOnly-1U-NoLED,95.25,-95.25,0.0,top
MX3-3,MX-NoLED,MXOnly-1U-NoLED,114.3,-95.25,0.0,top
MX3-4,MX-NoLED,MXOnly-1U-NoLED,133.35,-95.25,0.0,top
MX3-5,MX-NoLED,MXOnly-1U-NoLED,152.4,-95.25,0.0,top
MX3-6,MX-NoLED,MXOnly-1U-NoLED,171.45,-95.25,0.0,top
MX3-7,MX-NoLED,MXOnly-1U-NoLED,190.5,-95.25,0.0,top
MX3-8,MX-NoLED,MXOnly-1U-NoLED,209.55,-95.25,0.0,top
MX3-9,MX-NoLED,MXOnly-1U-NoLED,228.6,-95.25,0.0,top
MX3-10,MX-NoLED,MXOnly-1U-NoLED,247.65,-95.25,0.0,top
MX3-11,MX-NoLED,MXOnly-1U-NoLED,266.7,-95.25,0.0,top
